Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0.0,0.0,0.0,1,0.0,5849,128.0,360.0,1.0,2,1
0.0,1.0,1.0,1,0.0,4583,128.0,360.0,1.0,0,0
0.0,1.0,0.0,1,1.0,3000,66.0,360.0,1.0,2,1
0.0,1.0,0.0,0,0.0,2583,120.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,6000,141.0,360.0,1.0,2,1
0.0,1.0,2.0,1,1.0,5417,267.0,360.0,1.0,2,1
0.0,1.0,0.0,0,0.0,2333,95.0,360.0,1.0,2,1
0.0,1.0,3.0,1,0.0,3036,158.0,360.0,0.0,1,0
0.0,1.0,2.0,1,0.0,4006,168.0,360.0,1.0,2,1
0.0,1.0,1.0,1,0.0,12841,349.0,360.0,1.0,1,0
0.0,1.0,2.0,1,0.0,3200,70.0,360.0,1.0,2,1
0.0,1.0,2.0,1,0.0,2500,109.0,360.0,1.0,2,1
0.0,1.0,2.0,1,0.0,3073,200.0,360.0,1.0,2,1
0.0,0.0,0.0,1,0.0,1853,114.0,360.0,1.0,0,0
0.0,1.0,2.0,1,0.0,1299,17.0,120.0,1.0,2,1
0.0,0.0,0.0,1,0.0,4950,125.0,360.0,1.0,2,1
0.0,0.0,1.0,0,0.0,3596,100.0,240.0,1.0,2,1
1.0,0.0,0.0,1,0.0,3510,76.0,360.0,0.0,2,0
0.0,1.0,0.0,0,0.0,4887,133.0,360.0,1.0,0,0
0.0,1.0,0.0,1,0.0,2600,115.0,360.0,1.0,2,1
0.0,1.0,0.0,0,0.0,7660,104.0,360.0,0.0,2,0
0.0,1.0,1.0,1,0.0,5955,315.0,360.0,1.0,2,1
0.0,1.0,0.0,0,0.0,2600,116.0,360.0,0.0,1,0
0.0,1.0,2.0,0,0.0,3365,112.0,360.0,0.0,0,0
0.0,1.0,1.0,1,0.0,3717,151.0,360.0,1.0,1,0
0.0,1.0,0.0,1,1.0,9560,191.0,360.0,1.0,1,1
0.0,1.0,0.0,1,0.0,2799,122.0,360.0,1.0,1,1
0.0,1.0,2.0,0,0.0,4226,110.0,360.0,1.0,2,1
0.0,0.0,0.0,0,0.0,1442,35.0,360.0,1.0,2,0
1.0,0.0,2.0,1,0.0,3750,120.0,360.0,1.0,1,1
0.0,1.0,1.0,1,0.0,4166,201.0,360.0,1.0,2,0
